Gene	Splicing.ID	CHR	P0
MRPL35	MRPL35	2	86426478
REEP1	REEP1	2	86441116
U8	U8	2	86574185
SNORA19	SNORA19	2	86591259
KDM3A	KDM3A	2	86667770
CHMP3	CHMP3	2	86730554
RNU6-640P	RNU6-640P	2	86742327
AC015971.2	AC015971.2	2	86789193
AC015971.1	AC015971.1	2	86813263
RNF103	RNF103	2	86830516
RMND5A	RMND5A	2	86947296
CD8A	CD8A	2	87011729
CD8B	CD8B	2	87042462
AC111200.1	AC111200.1	2	87092511
ANAPC1P1	ANAPC1P1	2	87098424
AC111200.2	AC111200.2	2	87112198
RGPD1	RGPD1	2	87135076
AC111200.7	AC111200.7	2	87157373
AC111200.8	AC111200.8	2	87161585
PLGLB1	PLGLB1	2	87229682
AC125232.1	AC125232.1	2	87257800
AC092651.1	AC092651.1	2	87345657
AC083899.3	AC083899.3	2	87352513
MIR4771-2	MIR4771-2	2	87421909
AC083899.1	AC083899.1	2	87448236
RP11-223J6.1	RP11-223J6.1	2	87528781
IGKV3OR2-268	IGKV3OR2-268	2	87565634
AC068279.2	AC068279.2	2	87586177
AC068279.1	AC068279.1	2	87596356
AC068279.3	AC068279.3	2	87607003
LINC00152	LINC00152	2	87754887
RP11-1399P15.1	RP11-1399P15.1	2	87777014
AC133644.3	AC133644.3	2	87865347
MIR4435-1	MIR4435-1	2	87929274
AC133965.1	AC133965.1	2	87954409
AC093616.4	AC093616.4	2	88000503
PLGLB2	PLGLB2	2	88047606
RGPD2	RGPD2	2	88055474
MTATP8P2	MTATP8P2	2	88124461
AC108479.1	AC108479.1	2	88268128
AC108479.2	AC108479.2	2	88272175
RNU2-63P	RNU2-63P	2	88315873
KRCC1	KRCC1	2	88326724
SMYD1	SMYD1	2	88367299
MIR4780	MIR4780	2	88382038
FABP1	FABP1	2	88422510
THNSL2	THNSL2	2	88469835
RNY4P15	RNY4P15	2	88529088
AC012671.3	AC012671.3	2	88594111
MRPL45P1	MRPL45P1	2	88664214
RNU6-568P	RNU6-568P	2	88667312
AC012671.4	AC012671.4	2	88673658
RNU6-1168P	RNU6-1168P	2	88683013
RNU6-1007P	RNU6-1007P	2	88714417
AC012671.2	AC012671.2	2	88727597
FOXI3	FOXI3	2	88747726
AC012671.1	AC012671.1	2	88762285
TEX37	TEX37	2	88824169
AC104134.2	AC104134.2	2	88838238
EIF2AK3	EIF2AK3	2	88856259
AC062029.1	AC062029.1	2	88927095
RPIA	RPIA	2	88991162
ANKRD36BP2	ANKRD36BP2	2	89065324
AC096579.1	AC096579.1	2	89066835
AC096579.13	AC096579.13	2	89109984
MIR4436A	MIR4436A	2	89111884
AC096579.7	AC096579.7	2	89130700
IGKC	IGKC	2	89156674
IGKJ5	IGKJ5	2	89160080
IGKJ4	IGKJ4	2	89160398
IGKJ3	IGKJ3	2	89160733
IGKV4-1	IGKV4-1	2	89184913
IGKV5-2	IGKV5-2	2	89196748
IGKV7-3	IGKV7-3	2	89214597
PGBD4P5	PGBD4P5	2	89221844
IGKV2-4	IGKV2-4	2	89231184
IGKV1-5	IGKV1-5	2	89246819
IGKV1-6	IGKV1-6	2	89265781
IGKV3-7	IGKV3-7	2	89277987
IGKV1-8	IGKV1-8	2	89291928
IGKV1-9	IGKV1-9	2	89309479
IGKV2-10	IGKV2-10	2	89319489
IGKV3-11	IGKV3-11	2	89326668
IGKV1-12	IGKV1-12	2	89339721
IGKV1-13	IGKV1-13	2	89345492
IGKV2-14	IGKV2-14	2	89377506
IGKV3-15	IGKV3-15	2	89384673
IGKV1-16	IGKV1-16	2	89399352
IGKV1-17	IGKV1-17	2	89416833
IGKV2-18	IGKV2-18	2	89428207
IGKV2-19	IGKV2-19	2	89434458
IGKV3-20	IGKV3-20	2	89442057
IGKV6-21	IGKV6-21	2	89459235
IGKV1-22	IGKV1-22	2	89470259
IGKV2-23	IGKV2-23	2	89471506
IGKV2-24	IGKV2-24	2	89475812
IGKV3-25	IGKV3-25	2	89491988
IGKV2-26	IGKV2-26	2	89495584
IGKV1-27	IGKV1-27	2	89512908
IGKV2-28	IGKV2-28	2	89521179
IGKV2-29	IGKV2-29	2	89533655
IGKV2-30	IGKV2-30	2	89544264
IGKV3-31	IGKV3-31	2	89551697
IGKV1-32	IGKV1-32	2	89553057
IGKV1-33	IGKV1-33	2	89567758
IGKV3-34	IGKV3-34	2	89575056
IGKV1-35	IGKV1-35	2	89586446
IGKV2-36	IGKV2-36	2	89594990
IGKV1-37	IGKV1-37	2	89597021
IGKV2-38	IGKV2-38	2	89609655
IGKV1-39	IGKV1-39	2	89619383
IGKV2-40	IGKV2-40	2	89629873
IGKV2D-40	IGKV2D-40	2	89890601
IGKV1D-39	IGKV1D-39	2	89901292
IGKV2D-38	IGKV2D-38	2	89911273
IGKV1D-37	IGKV1D-37	2	89923550
IGKV2D-36	IGKV2D-36	2	89925832
IGKV1D-35	IGKV1D-35	2	89934312
IGKV3D-34	IGKV3D-34	2	89945567
IGKV1D-33	IGKV1D-33	2	89952792
IGKV1D-32	IGKV1D-32	2	89967232
IGKV3D-31	IGKV3D-31	2	89968511
IGKV2D-30	IGKV2D-30	2	89975669
IGKV2D-29	IGKV2D-29	2	89986322
IGKV2D-28	IGKV2D-28	2	89998789
IGKV1D-27	IGKV1D-27	2	90007677
IGKV2D-26	IGKV2D-26	2	90024732
IGKV3D-25	IGKV3D-25	2	90028797
IGKV2D-24	IGKV2D-24	2	90043607
IGKV2D-23	IGKV2D-23	2	90048212
IGKV1D-22	IGKV1D-22	2	90049551
IGKV6D-21	IGKV6D-21	2	90060377
IGKV3D-20	IGKV3D-20	2	90077680
IGKV2D-19	IGKV2D-19	2	90085628
IGKV2D-18	IGKV2D-18	2	90091427
IGKV6D-41	IGKV6D-41	2	90108504
IGKV1D-17	IGKV1D-17	2	90121477
AC073416.1	AC073416.1	2	90137998
IGKV1D-16	IGKV1D-16	2	90139078
IGKV3D-15	IGKV3D-15	2	90153696
IGKV2D-14	IGKV2D-14	2	90160638
IGKV1D-13	IGKV1D-13	2	90192768
IGKV1D-12	IGKV1D-12	2	90198535
IGKV3D-11	IGKV3D-11	2	90211643
IGKV2D-10	IGKV2D-10	2	90218730
IGKV1D-42	IGKV1D-42	2	90229045
IGKV1D-43	IGKV1D-43	2	90248739
IGKV1D-8	IGKV1D-8	2	90259593
IGKV3D-7	IGKV3D-7	2	90273679
AC113612.2	AC113612.2	2	90294146
AC113612.1	AC113612.1	2	90300126
CH17-132F21.1	CH17-132F21.1	2	90458201
AC233263.2	AC233263.2	2	90512495
AC233263.1	AC233263.1	2	90532368
RP11-685N3.1	RP11-685N3.1	2	90537839
AC018696.1	AC018696.1	2	91635931
IGKV1OR2-118	IGKV1OR2-118	2	91679087
AC018696.3	AC018696.3	2	91685386
AC018696.2	AC018696.2	2	91693219
AC018696.5	AC018696.5	2	91723049
AC018696.6	AC018696.6	2	91734174
AC018696.7	AC018696.7	2	91740600
AC018696.4	AC018696.4	2	91766537
RP11-575H3.1	RP11-575H3.1	2	91768393
AC116050.1	AC116050.1	2	91777536
AC027612.6	AC027612.6	2	91805186
RNA5SP100	RNA5SP100	2	91862883
DRD5P1	DRD5P1	2	91872473
AC027612.3	AC027612.3	2	91884477
RP11-165D20.1	RP11-165D20.1	2	91911049
AC027612.4	AC027612.4	2	91924752
AC027612.1	AC027612.1	2	91935966
AC027612.2	AC027612.2	2	91951951
GGT8P	GGT8P	2	91963970
IGKV1OR-1	IGKV1OR-1	2	92005797
ABCD1P5	ABCD1P5	2	92028627
AC127391.3	AC127391.3	2	92047410
PABPC1P6	PABPC1P6	2	92065995
SLC9B1P2	SLC9B1P2	2	92071102
ACTR3BP2	ACTR3BP2	2	92128694
CHEK2P3	CHEK2P3	2	92145462
AC128677.3	AC128677.3	2	92194706
AC128677.4	AC128677.4	2	92222172
CNN2P11	CNN2P11	2	95391419
AC073464.4	AC073464.4	2	95400400
CNN2P8	CNN2P8	2	95403082
AC073464.6	AC073464.6	2	95416327
CYP4F32P	CYP4F32P	2	95425004
AC073464.7	AC073464.7	2	95426519
SNX18P14	SNX18P14	2	95452433
AC073464.11	AC073464.11	2	95461553
ANKRD20A8P	ANKRD20A8P	2	95479849
RNU6-1320P	RNU6-1320P	2	95512278
AC097374.2	AC097374.2	2	95533231
TEKT4	TEKT4	2	95539051
AC097374.3	AC097374.3	2	95565311
AC097374.4	AC097374.4	2	95566735
RPS24P6	RPS24P6	2	95578177
AC103563.2	AC103563.2	2	95618906
AC103563.3	AC103563.3	2	95626792
AC103563.4	AC103563.4	2	95630218
AC103563.5	AC103563.5	2	95637699
AC103563.6	AC103563.6	2	95640289
AC103563.7	AC103563.7	2	95657625
RN7SL575P	RN7SL575P	2	95669292
AC103563.8	AC103563.8	2	95690938
MAL	MAL	2	95691422
AC103563.9	AC103563.9	2	95717140
MRPS5	MRPS5	2	95752952
ZNF514	ZNF514	2	95813682
ZNF2	ZNF2	2	95831177
AC092835.2	AC092835.2	2	95873283
PROM2	PROM2	2	95940201
KCNIP3	KCNIP3	2	95963052
FABP7P2	FABP7P2	2	96034255
FAHD2A	FAHD2A	2	96068469
AC009238.8	AC009238.8	2	96100507
AC009238.7	AC009238.7	2	96101881
UBTFL5	UBTFL5	2	96111911
AC133104.2	AC133104.2	2	96134611
TRIM43B	TRIM43B	2	96142715
AC009237.4	AC009237.4	2	96151289
AC009237.2	AC009237.2	2	96152228
AC009237.5	AC009237.5	2	96161770
AC009237.6	AC009237.6	2	96168539
TRIM64FP	TRIM64FP	2	96180575
RP11-440D17.3	RP11-440D17.3	2	96190857
AC009237.8	AC009237.8	2	96192451
AC009237.11	AC009237.11	2	96201865
RP11-440D17.4	RP11-440D17.4	2	96203717
AC009237.10	AC009237.10	2	96208478
OR7E102P	OR7E102P	2	96212279
TRIM51JP	TRIM51JP	2	96240647
AC009237.13	AC009237.13	2	96256717
TRIM43	TRIM43	2	96257766
AC009237.14	AC009237.14	2	96272672
RP11-440D17.2	RP11-440D17.2	2	96282240
UBTFL3	UBTFL3	2	96285392
AC009237.17	AC009237.17	2	96305929
AC009237.16	AC009237.16	2	96307382
AC008268.1	AC008268.1	2	96331832
AC008268.2	AC008268.2	2	96457968
LINC00342	LINC00342	2	96472866
ANKRD36C	ANKRD36C	2	96514587
RN7SL210P	RN7SL210P	2	96670313
FAHD2CP	FAHD2CP	2	96676299
GPAT2	GPAT2	2	96687694
ADRA2B	ADRA2B	2	96778707
ASTL	ASTL	2	96789589
DUSP2	DUSP2	2	96808905
AC012307.2	AC012307.2	2	96811341
STARD7	STARD7	2	96850597
AC012307.3	AC012307.3	2	96874564
TMEM127	TMEM127	2	96914254
CIAO1	CIAO1	2	96931870
SNRNP200	SNRNP200	2	96940074
AC021188.4	AC021188.4	2	96973001
ITPRIPL1	ITPRIPL1	2	96991069
NCAPH	NCAPH	2	97001525
NEURL3	NEURL3	2	97163383
RP11-363D14.1	RP11-363D14.1	2	97193677
ARID5A	ARID5A	2	97202486
KANSL3	KANSL3	2	97258907
FER1L5	FER1L5	2	97308574
LMAN2L	LMAN2L	2	97371666
CNNM4	CNNM4	2	97426639
MIR3127	MIR3127	2	97464015
RP11-353K11.1	RP11-353K11.1	2	97477976
CNNM3	CNNM3	2	97481982
ANKRD23	ANKRD23	2	97490263
ANKRD39	ANKRD39	2	97502348
SEMA4C	SEMA4C	2	97525453
FAM178B	FAM178B	2	97541620
RNA5SP101	RNA5SP101	2	97622445
AC079395.1	AC079395.1	2	97684080
TRIM43CP	TRIM43CP	2	97691718
AC018892.8	AC018892.8	2	97700179
AC018892.3	AC018892.3	2	97701198
IGKV2OR2-1	IGKV2OR2-1	2	97712325
IGKV2OR2-2	IGKV2OR2-2	2	97716466
IGKV1OR2-3	IGKV1OR2-3	2	97725682
AC018892.9	AC018892.9	2	97746835
FAHD2B	FAHD2B	2	97749320
RN7SL313P	RN7SL313P	2	97766321
ANKRD36	ANKRD36	2	97779233
IGKV1OR2-11	IGKV1OR2-11	2	97987331
IGKV2OR2-10	IGKV2OR2-10	2	97996726
IGKV2OR2-7	IGKV2OR2-7	2	98000864
IGKV1OR2-6	IGKV1OR2-6	2	98018364
IGKV3OR2-5	IGKV3OR2-5	2	98024520
IGKV2OR2-7D	IGKV2OR2-7D	2	98037725
IGKV2OR2-8	IGKV2OR2-8	2	98041867
IGKV1OR2-9	IGKV1OR2-9	2	98051276
AC159540.3	AC159540.3	2	98069548
AC159540.1	AC159540.1	2	98081083
AC159540.2	AC159540.2	2	98086678
ANKRD36B	ANKRD36B	2	98108978
AC159540.14	AC159540.14	2	98140412
UBTFL6	UBTFL6	2	98253060
COX5B	COX5B	2	98262503
ACTR1B	ACTR1B	2	98272431
AC017099.3	AC017099.3	2	98280680
RNU4-8P	RNU4-8P	2	98281054
ZAP70	ZAP70	2	98330023
TMEM131	TMEM131	2	98372803
HMGN1P36	HMGN1P36	2	98443711
RNU7-96P	RNU7-96P	2	98529517
VWA3B	VWA3B	2	98703579
ATP5BP1	ATP5BP1	2	98822614
AC092675.1	AC092675.1	2	98913401
AC092675.3	AC092675.3	2	98947852
CNGA3	CNGA3	2	98962618
AC092675.4	AC092675.4	2	98963458
INPP4A	INPP4A	2	99061317
COA5	COA5	2	99215773
UNC50	UNC50	2	99225042
MGAT4A	MGAT4A	2	99235569
YWHAQP5	YWHAQP5	2	99310572
AC109826.1	AC109826.1	2	99378401
RNU4-84P	RNU4-84P	2	99398873
KIAA1211L	KIAA1211L	2	99410309
RNU7-46P	RNU7-46P	2	99457138
TSGA10	TSGA10	2	99613724
AC019097.7	AC019097.7	2	99718481
C2orf15	C2orf15	2	99923905
C2ORF15	C2ORF15	2	99758036
LIPT1	LIPT1	2	99771428
MITD1	MITD1	2	99777890
MRPL30	MRPL30	2	99797542
LYG2	LYG2	2	99858709
LYG1	LYG1	2	99900701
TXNDC9	TXNDC9	2	99935445
EIF5B	EIF5B	2	99953816
REV1	REV1	2	100017790
RP11-527J8.1	RP11-527J8.1	2	100021680
AC018690.1	AC018690.1	2	100136565
AFF3	AFF3	2	100162323
AC092667.2	AC092667.2	2	100721381
AC104782.3	AC104782.3	2	100824716
LONRF2	LONRF2	2	100889753
AC012493.2	AC012493.2	2	100986705
RP11-292K15.1	RP11-292K15.1	2	100993883
CHST10	CHST10	2	101008327
AC012493.1	AC012493.1	2	101041810
NMS	NMS	2	101086944
AC068538.2	AC068538.2	2	101125739
RN7SL611P	RN7SL611P	2	101172512
PDCL3	PDCL3	2	101179152
HMGN2P22	HMGN2P22	2	101207612
RN7SL360P	RN7SL360P	2	101217328
AC068538.4	AC068538.4	2	101223490
NANOGNBP1	NANOGNBP1	2	101276661
AC092168.3	AC092168.3	2	101286354
AC092168.4	AC092168.4	2	101338683
NPAS2	NPAS2	2	101436614
AC092168.2	AC092168.2	2	101439123
AC016738.3	AC016738.3	2	101589110
AC016738.4	AC016738.4	2	101610138
RPL31	RPL31	2	101618707
TBC1D8	TBC1D8	2	101624079
RP11-426K3.1	RP11-426K3.1	2	101684840
RN7SL548P	RN7SL548P	2	101710031
RP11-299H21.1	RP11-299H21.1	2	101768122
CNOT11	CNOT11	2	101869329
RNF149	RNF149	2	101887681
SNORD89	SNORD89	2	101889399
MIR5696	MIR5696	2	101925912
CREG2	CREG2	2	101962013
AC092570.1	AC092570.1	2	101992049
RFX8	RFX8	2	102013823
AC092570.2	AC092570.2	2	102095852
AC092570.3	AC092570.3	2	102125992
AC092570.4	AC092570.4	2	102137296
MAP4K4	MAP4K4	2	102313312
IL1R2	IL1R2	2	102608306
IL1R1	IL1R1	2	102681004
AC007271.3	AC007271.3	2	102789081
IL1RL2	IL1RL2	2	102803433
AC007248.6	AC007248.6	2	102866317
IL1RL1	IL1RL1	2	102927962
IL18R1	IL18R1	2	102972389
AC007248.7	AC007248.7	2	103027703
IL18RAP	IL18RAP	2	103035149
MIR4772	MIR4772	2	103048749
AC007278.2	AC007278.2	2	103050417
AC007278.3	AC007278.3	2	103055173
SLC9A4	SLC9A4	2	103089762
SLC9A2	SLC9A2	2	103236166
MFSD9	MFSD9	2	103332299
TMEM182	TMEM182	2	103353367
AC007251.2	AC007251.2	2	103489798
AC108051.1	AC108051.1	2	103583866
AC108051.2	AC108051.2	2	103603781
AC108051.3	AC108051.3	2	103628237
AC073987.1	AC073987.1	2	103726217
AC073987.2	AC073987.2	2	103892362
AC092568.1	AC092568.1	2	104110699
AC018880.1	AC018880.1	2	104144078
AC018880.2	AC018880.2	2	104240088
AC013727.1	AC013727.1	2	104473428
AC013727.2	AC013727.2	2	104482204
RP11-76I14.1	RP11-76I14.1	2	104490768
AC096554.1	AC096554.1	2	104741726
AHCYP3	AHCYP3	2	105011460
AC068535.2	AC068535.2	2	105027659
AC068535.3	AC068535.3	2	105028685
AC013402.2	AC013402.2	2	105049725
AC068535.4	AC068535.4	2	105104916
AC013402.1	AC013402.1	2	105185275
AC013402.4	AC013402.4	2	105197279
AC013402.3	AC013402.3	2	105199610
AC013402.5	AC013402.5	2	105275795
AC068535.5	AC068535.5	2	105294681
AC068057.1	AC068057.1	2	105320216
SNORA72	SNORA72	2	105349692
AC068057.2	AC068057.2	2	105363096
HMGB3P11	HMGB3P11	2	105387740
AC018730.1	AC018730.1	2	105424030
RP11-13J10.1	RP11-13J10.1	2	105469743
POU3F3	POU3F3	2	105471969
AC018730.4	AC018730.4	2	105481865
AC018730.3	AC018730.3	2	105482074
AC010884.1	AC010884.1	2	105552869
AC010884.2	AC010884.2	2	105609360
MRPS9	MRPS9	2	105654441
AC104655.2	AC104655.2	2	105713510
AC104655.3	AC104655.3	2	105760571
GPR45	GPR45	2	105858200
RP11-332H14.1	RP11-332H14.1	2	105865861
AC012360.1	AC012360.1	2	105867759
TGFBRAP1	TGFBRAP1	2	105880871
AC012360.4	AC012360.4	2	105940667
RP11-332H14.2	RP11-332H14.2	2	105950484
C2orf49	C2orf49	2	105953933
FHL2	FHL2	2	105974169
AC012360.6	AC012360.6	2	105979495
NCK2	NCK2	2	106361354
AC009505.2	AC009505.2	2	106462990
AC009505.4	AC009505.4	2	106575540
C2orf40	C2orf40	2	106679702
UXS1	UXS1	2	106709759
AC018878.3	AC018878.3	2	106795998
AC092106.2	AC092106.2	2	106863825
AC092106.1	AC092106.1	2	106869687
AC114755.2	AC114755.2	2	106905259
AC114755.4	AC114755.4	2	106921211
AC114755.3	AC114755.3	2	106961022
AC114755.5	AC114755.5	2	106984665
AC114755.7	AC114755.7	2	106986180
PLGLA	PLGLA	2	106998562
RGPD3	RGPD3	2	107021446
AC108868.3	AC108868.3	2	107087255
AC108868.1	AC108868.1	2	107099728
CD8BP	CD8BP	2	107103824
AC108868.5	AC108868.5	2	107138359
AC108868.6	AC108868.6	2	107159470
EEF1A1P12	EEF1A1P12	2	107313787
ST6GAL2	ST6GAL2	2	107418056
ST6GAL2-IT1	ST6GAL2-IT1	2	107439379
AC016994.2	AC016994.2	2	107450920
PPP1R2P5	PPP1R2P5	2	107557336
AC005040.3	AC005040.3	2	107579649
AC006227.1	AC006227.1	2	107871147
AC096669.1	AC096669.1	2	107978738
AC096669.2	AC096669.2	2	108002088
AC096669.3	AC096669.3	2	108145943
GACAT1	GACAT1	2	108370568
AC096655.2	AC096655.2	2	108439519
RGPD4	RGPD4	2	108443388
AC009963.3	AC009963.3	2	108519453
AC009963.4	AC009963.4	2	108520420
AC009963.5	AC009963.5	2	108531404
AC009963.6	AC009963.6	2	108537219
SLC5A7	SLC5A7	2	108602979
AC023672.2	AC023672.2	2	108665656
AC023672.1	AC023672.1	2	108715566
AC019100.3	AC019100.3	2	108784204
RP11-443K8.2	RP11-443K8.2	2	108842471
SULT1C3	SULT1C3	2	108863651
AC019100.7	AC019100.7	2	108893268
SULT1C2	SULT1C2	2	108905095
RP11-443K8.1	RP11-443K8.1	2	108934181
SULT1C2P1	SULT1C2P1	2	108938694
RP11-465O11.2	RP11-465O11.2	2	108983572
SULT1C4	SULT1C4	2	108994468
RP11-465O11.1	RP11-465O11.1	2	109040068
GCC2	GCC2	2	109065017
AC012487.2	AC012487.2	2	109123971
LIMS1	LIMS1	2	109150857
AC010095.5	AC010095.5	2	109293251
AC010095.6	AC010095.6	2	109311206
AC010095.7	AC010095.7	2	109328718
RANBP2	RANBP2	2	109335937
CCDC138	CCDC138	2	109403213
AC073415.2	AC073415.2	2	109494764
EDAR	EDAR	2	109510927
SH3RF3-AS1	SH3RF3-AS1	2	109743783
SH3RF3	SH3RF3	2	109745804
MIR4265	MIR4265	2	109757946
SNRPGP9	SNRPGP9	2	109867878
MIR4266	MIR4266	2	109930027
SEPT10	SEPT10	2	110300559
RP11-537E18.1	RP11-537E18.1	2	110310113
AC011753.5	AC011753.5	2	110352270
SOWAHC	SOWAHC	2	110371911
AC011753.6	AC011753.6	2	110422786
BMS1P19	BMS1P19	2	110424705
AC109815.2	AC109815.2	2	110490308
RPL22P11	RPL22P11	2	110494713
RGPD5	RGPD5	2	110550335
LIMS3	LIMS3	2	110656005
AC013271.3	AC013271.3	2	110690738
GPAA1P1	GPAA1P1	2	110741635
AC013268.2	AC013268.2	2	110744516
AC013268.5	AC013268.5	2	110745972
AC013268.3	AC013268.3	2	110765252
AC013268.4	AC013268.4	2	110769842
MIR4267	MIR4267	2	110827538
MALL	MALL	2	110841447
MIR4436B1	MIR4436B1	2	110844010
NPHP1	NPHP1	2	110879888
AC013268.1	AC013268.1	2	110884309
AC092664.1	AC092664.1	2	110941631
LINC00116	LINC00116	2	110969106
RP11-1223D19.1	RP11-1223D19.1	2	110988683
MIR4436B2	MIR4436B2	2	111042430
AC140479.1	AC140479.1	2	111058889
AC112229.6	AC112229.6	2	111116367
AC112229.1	AC112229.1	2	111118185
AC112229.7	AC112229.7	2	111132715
AC108938.2	AC108938.2	2	111140811
AC112229.4	AC112229.4	2	111143954
RP13-1039J1.2	RP13-1039J1.2	2	111160491
LIMS3L	LIMS3L	2	111209481
RP13-1039J1.3	RP13-1039J1.3	2	111206819
AC108938.3	AC108938.3	2	111257677
RGPD6	RGPD6	2	111271398
AC123886.2	AC123886.2	2	111368493
AC114776.1	AC114776.1	2	111391524
BUB1	BUB1	2	111395275
AC114776.3	AC114776.3	2	111467152
ACOXL	ACOXL	2	111490150
RPL5P9	RPL5P9	2	111725411
AC096670.3	AC096670.3	2	111855922
BCL2L11	BCL2L11	2	111876955
AC108463.1	AC108463.1	2	111953540
MIR4435-1HG	MIR4435-1HG	2	111953927
AC108463.2	AC108463.2	2	111961541
RP11-181E10.3	RP11-181E10.3	2	111968572
AC068491.2	AC068491.2	2	112022860
RP11-803D5.4	RP11-803D5.4	2	112024445
RPS14P4	RPS14P4	2	112053206
MIR4435-2	MIR4435-2	2	112078589
AC068491.3	AC068491.3	2	112141329
AC017002.1	AC017002.1	2	112248850
AC017002.2	AC017002.2	2	112249520
RP11-68E19.1	RP11-68E19.1	2	112315990
AC017002.4	AC017002.4	2	112365418
AC093166.1	AC093166.1	2	112432603
AC093166.2	AC093166.2	2	112475085
AC093166.3	AC093166.3	2	112500163
ANAPC1	ANAPC1	2	112523848
MIR4771-1	MIR4771-1	2	112528638
AC093166.4	AC093166.4	2	112623375
AC104651.1	AC104651.1	2	112645491
MERTK	MERTK	2	112656056
RN7SL297P	RN7SL297P	2	112687752
AC104651.2	AC104651.2	2	112697879
AC104651.3	AC104651.3	2	112709721
TMEM87B	TMEM87B	2	112812800
FBLN7	FBLN7	2	112895962
ZC3H8	ZC3H8	2	112969102
ZC3H6	ZC3H6	2	113033171
AC115115.3	AC115115.3	2	113043634
AC115115.4	AC115115.4	2	113103588
RGPD8	RGPD8	2	113127669
TTL	TTL	2	113239731
POLR1B	POLR1B	2	113299492
CHCHD5	CHCHD5	2	113341817
AC012442.5	AC012442.5	2	113371790
AC012442.6	AC012442.6	2	113348373
AC079922.2	AC079922.2	2	113379386
AC079922.3	AC079922.3	2	113399409
SLC20A1	SLC20A1	2	113403434
NT5DC4	NT5DC4	2	113479063
CKAP2L	CKAP2L	2	113493930
IL1A	IL1A	2	113531492
IL1B	IL1B	2	113587328
AC079753.1	AC079753.1	2	113601888
AC079753.4	AC079753.4	2	113610905
IL37	IL37	2	113670548
AC079753.5	AC079753.5	2	113690202
IL36G	IL36G	2	113730780
HMGN2P23	HMGN2P23	2	113738743
AC016724.6	AC016724.6	2	113753094
IL36A	IL36A	2	113763038
IL36B	IL36B	2	113779668
IL36RN	IL36RN	2	113816215
IL1F10	IL1F10	2	113825547
RNU6-1180P	RNU6-1180P	2	113844382
IL1RN	IL1RN	2	113864791
PSD4	PSD4	2	113914902
AC016683.5	AC016683.5	2	113929112
AC016683.6	AC016683.6	2	113969099
PAX8	PAX8	2	113973574
RP11-65I12.1	RP11-65I12.1	2	113998403
IGKV1OR2-108	IGKV1OR2-108	2	114163973
AC016745.3	AC016745.3	2	114182072
RP11-480C16.1	RP11-480C16.1	2	114190177
CBWD2	CBWD2	2	114195268
AC016745.1	AC016745.1	2	114204992
FOXD4L1	FOXD4L1	2	114256661
RP11-395L14.3	RP11-395L14.3	2	114270040
RP11-395L14.4	RP11-395L14.4	2	114285145
RP11-395L14.5	RP11-395L14.5	2	114299514
FAM138B	FAM138B	2	114334959
MIR1302-3	MIR1302-3	2	114340536
WASH2P	WASH2P	2	114341664
DDX11L2	DDX11L2	2	114356656
RPL23AP7	RPL23AP7	2	114368079
RABL2A	RABL2A	2	114384806
RP11-395L14.17	RP11-395L14.17	2	114415485
RP11-395L14.13	RP11-395L14.13	2	114425055
AC017074.1	AC017074.1	2	114426743
AC017074.2	AC017074.2	2	114435279
RNU6-744P	RNU6-744P	2	114438688
SLC35F5	SLC35F5	2	114470369
MIR4782	MIR4782	2	114478867
AC024704.2	AC024704.2	2	114586967
AC104653.1	AC104653.1	2	114588697
RP11-141B14.1	RP11-141B14.1	2	114645780
ACTR3	ACTR3	2	114647537
AC010982.1	AC010982.1	2	114737146
AC110769.3	AC110769.3	2	114740241
AC110769.1	AC110769.1	2	114747587
AC010982.2	AC010982.2	2	114879851
SEPHS1P7	SEPHS1P7	2	115017627
RNU2-41P	RNU2-41P	2	115177702
DPP10	DPP10	2	115199876
AC068542.1	AC068542.1	2	115586009
AC068542.2	AC068542.2	2	115591407
AC066593.1	AC066593.1	2	115888512
AC017040.1	AC017040.1	2	116225632
RP11-338I24.1	RP11-338I24.1	2	117444794
AC062016.1	AC062016.1	2	117484029
AC062016.2	AC062016.2	2	117508734
AC062016.3	AC062016.3	2	117575662
MTND1P28	MTND1P28	2	117781494
MTND2P21	MTND2P21	2	117782653
AC012365.3	AC012365.3	2	117784113
RNU7-190P	RNU7-190P	2	117897291
AC092170.1	AC092170.1	2	117938468
AC009312.1	AC009312.1	2	118515139
DDX18	DDX18	2	118572226
AC009404.2	AC009404.2	2	118591513
HTR5BP	HTR5BP	2	118617003
CCDC93	CCDC93	2	118673054
AC009303.3	AC009303.3	2	118691601
AC009303.1	AC009303.1	2	118752973
RP11-98C1.1	RP11-98C1.1	2	118755517
RP11-98C1.2	RP11-98C1.2	2	118756321
RN7SL111P	RN7SL111P	2	118773958
INSIG2	INSIG2	2	118846028
AC093901.1	AC093901.1	2	118889704
RP11-19E11.1	RP11-19E11.1	2	119591276
EN1	EN1	2	119599747
MARCO	MARCO	2	119699742
RP11-77A13.1	RP11-77A13.1	2	119706882
C1QL2	C1QL2	2	119913819
RN7SL468P	RN7SL468P	2	119927398
STEAP3	STEAP3	2	119981384
STEAP3-AS1	STEAP3-AS1	2	120001998
C2orf76	C2orf76	2	120059801
DBI	DBI	2	120124497
TMEM37	TMEM37	2	120187477
SCTR	SCTR	2	120197419
AC013275.2	AC013275.2	2	120234024
PCDP1	PCDP1	2	120302008
AC013275.1	AC013275.1	2	120328476
